id,title,author,nicknames,suite,performances,copy_id,core_gd,cover_gd,cover_jg,core_jrad,aka,debut_gd,notes,abbrev
562,Slow Train,Bob Dylan,,,,562,,TRUE,,,,1987,,
212,Stuck Inside of Mobile With the Memphis Blues Again,Bob Dylan,Memphis Blues,,2771:3772:4293:4634:4719:4926:4983:5382,212,,TRUE,,,,1987,,
570,Tangled Up in Blue,Bob Dylan,,,4200:4320:4739:5061:5118:5167:5440,570,,TRUE,,,,1976,,
220,"Tell Me, Momma",Bob Dylan,,,1898:2220:2319:2321:2376:2688:2844:3004:3101:3253:3461:3591:3702:3875:4026:4260:4348:4641:4691:4838:5088:5327:5511,220,,,,,Tell Me Mama,,,
748,The Ballad of Frankie Lee and Judas Priest,Bob Dylan,Frankie Lee,,,747,,TRUE,,,,1987,,
181,The Mighty Quinn,Bob Dylan,Mighty Quinn,,400:624:840:1389:1586:3055:3423:3917:4286,181,,TRUE,,,Quinn the Eskimo,1986,,
608,The Times They Are A-Changin',Bob Dylan,,,,608,,TRUE,,,,1987,,
606,Tomorrow Is a Long Time,Bob Dylan,,,,606,,TRUE,,,,1987,,
248,Tonight I'll Be Staying Here with You,Bob Dylan,Staying Here with You,,74:262:466:1727:1963:2564:2795:3646:3860:4303:4523:5215,248,,,,,,,,
250,Tough Mama,Bob Dylan,,,1363:3040:3678,250,,TRUE,,,Tough Momma,1974,,
603,Under Your Spell,Bob Dylan,,,,603,,TRUE,,,,1987,,
602,Union Sundown,Bob Dylan,,,,602,,TRUE,,,,1987,,
581,Visions of Johanna,Bob Dylan,,,,581,,TRUE,,,,1986,,
600,Walkin' Down the Line,Bob Dylan,,,,600,,TRUE,,,,1987,,
598,Watching the River Flow,Bob Dylan,,,,598,,TRUE,,,,1987,,
418,What Was It You Wanted,Bob Dylan,,,,418,,,,,,,,
266,When I Paint My Masterpiece,Bob Dylan,Masterpiece,,1433:3660:3833:3931:4406:4890:5140:5434,266,,TRUE,,,,1987,,
666,Joey,Bob Dylan & Jaques Levy,,,,666,,TRUE,,,Ballad of Joey Gallo,1987,,
271,Yazoo Street Scandal,Bob Dylan and The Band,,,2153:2669:2861:3299:3762:4340:4637:4892:5210,271,,,,,,,,
364,Exodus,Bob Marley,,,,364,,,,,,,,
383,Redemption Song,Bob Marley,,,,383,,,,,,,,
618,Stir It Up,Bob Marley (The Wailers),,,,618,,TRUE,,,,1977?,,
39,Catfish John,Bob McDill & Allen Reynolds,,,633:3934:4336:4367:4642:4718:4876:4973:5162:5280,39,,TRUE,,,,1973,,
635,Pipeline,Bob Spickard & Brian Carman (The Chantays),,,,635,,TRUE,,,,1969,,
86,Gonesville,Bob Weir,,,1921:1969:2035:2081:2149:2331:2531:2759:3211:3445:3711:3928:4187:4275:4755:4895:5077:5340,86,,,,,,,,
27,Born Cross Eyed,Bob Weir (Grateful Dead),,,733:797:1078:1083:1141:1502:1519:1604:1661:1795:1833:1894:2135:2155:2219:2352:2422:2623:2783:3192:3193:3607:3955:4191:4488:4800:5035,27,TRUE,,,,,1968,,BCE
169,One More Saturday Night,Bob Weir (Grateful Dead),Saturday Night,,77:322:429:467:481:556:603:683:730:863:898:924:1007:1115:1182:1218:1274:1310:1441:1683:1740:1818:1936:2111:2257:2411:2598:2660:2807:2942:3076:3173:3373:3410:3641:3887:3986:4101:4177:4278:4535:4648:4736:4918:5046:5244:5392:5548,169,TRUE,,,,,1971,,
276,Part I,Bob Weir (Grateful Dead),WRS pt. 1,Weather Report,85:368:2205:2273:3305:3395:4242,276,TRUE,,,,,1973,,WRS1
549,Sage and Spirit,Bob Weir (Grateful Dead),,,4245,549,TRUE,,,,,1975,,
235,The Other One,Bob Weir (Grateful Dead),,,19:60:179:261:428:449:488:562:761:798:951:1079:1154:1381:1418:1545:1721:1820:1934:1954:2019:2083:2190:2270:2307:2341:2408:2431:2495:2580:2711:2737:2792:2954:2981:2982:3024:3026:3032:3142:3157:3238:3259:3369:3381:3442:3490:3514:3571:3614:3707:3750:3866:3908:3914:3983:4004:4012:4103:4291:4435:4479:4533:4552:4562:4652:4762:4811:4875:4977:5024:5195:5226:5288:5307:5366:5444:5500:5539,235,TRUE,,,,That's It for the Other One,1967,,TOO
656,Little Star,Bob Weir (Ratdog),,,,656,,,,,Bob Star,1983,,
580,Victim or the Crime,Bob Weir & Gerrit Graham (Grateful Dead),Victim,,,580,TRUE,,,,,1988,,
436,Ode to Billy Joe,Bobbie Gentry,,,,436,,,,,,,,
352,My Perogative,Bobby Brown,,,,352,,,,,,,,
717,Do You Wanna Dance?,Bobby Freeman,,,,717,,TRUE,,,,1987,,
526,Long Black Limousine,Bobby George & Vern Stovall (Wynn Stewart?),,,,526,,TRUE,,,,1969,,
668,It's All Over Now,Bobby Womack & Shirley Womack (The Rolling Stones),,,2577:5232,668,,TRUE,,,,1976,,
151,Morning Dew,Bonnie Dobson; Tim Rose,Dew,,87:234:336:414:480:622:789:839:952:1092:1396:1449:1621:1769:2078:2133:2403:2547:2676:2762:2956:3001:3144:3239:3450:3579:3886:3984:4088:4238:4470:4683:4767:5002:5116:5323:5486,151,,TRUE,,,,1967,,
107,Hoodoo Voodoo,Bragg – Wilco – Harris (Woody Guthrie),,,1649:1946:3487,107,,,,,,,,
640,Break You Down,Brent Mydland (Grateful Dead),,,,640,,TRUE,,,Only a Fool,1984,,
480,Don't Need Love,Brent Mydland (Grateful Dead),,,,480,TRUE,,,,,1984,,
488,Far From Me,Brent Mydland (Grateful Dead),,,,488,TRUE,,,,,1984,,
518,Just a Little Light,Brent Mydland (Grateful Dead),,,,518,TRUE,,,,,1989,,
528,Maybe You Know,Brent Mydland (Grateful Dead),,,,528,TRUE,,,,,1983,,
535,Never Trust a Woman,Brent Mydland (Grateful Dead),,,,535,TRUE,,,,,1981,,
578,Tons of Steel,Brent Mydland (Grateful Dead),,,,578,TRUE,,,,,1984,,
